ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
105,355eb074-1025-47d4-8edc-7d0035627eee,2/10/2023 8:31:43 PM,,2/10/2023 8:31:43 PM,,Jeffrey Wayer,,Inside the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other","Radishes, cabbages ",other,Radishes ,"Make their own mulch 
Has occasionally problems with nema toads and fungus ",-156.298594102852,20.8998531147617
106,e5853ee5-4073-4794-88e7-780e5d655a83,2/10/2023 8:34:08 PM,,2/10/2023 8:34:08 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,niu_(coconut),,niu (coconut),,"A few banana trees grown with the coconuts 
",-156.298758396867,20.9000987050843
107,c8fd7bc2-2de5-47b7-8585-b0cfb2c6540b,2/10/2023 8:35:48 PM,,2/10/2023 8:35:48 PM,,Brigette Tomas,,Inside the field,Multiple crops,other,"Finger lime, Lime, Key lime, Orange ",not applicable,,All citrus fruits,-156.29864629,20.89988772
108,df303dc4-9179-4782-9039-28dac84bf6f5,2/10/2023 8:36:08 PM,,2/10/2023 8:36:08 PM,,Jeffrey wayer ,,Inside the field,One crop,tropical_fruits,,,,Papaya ,-156.298582992458,20.8999932851342
109,78c8f1eb-bf62-4ac1-a75d-f4a82dad37af,2/10/2023 8:40:13 PM,,2/10/2023 8:40:13 PM,,Jeffrey wayer,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),macadamia_nut",,mai`a (banana),,Grown in a small grove ,-156.298870503718,20.8999038034747
110,f5eb0b5d-a11d-49c0-ae72-1db755dbb63b,2/10/2023 8:49:20 PM,,2/10/2023 8:49:20 PM,,Jeffrey wayer,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,"Uses homemade mulch 
Some problems with fungus and nematodes ",-156.298624664087,20.89998014305
111,a6865d24-b4ba-40a1-878c-e87907844754,2/10/2023 8:49:51 PM,,2/10/2023 8:49:51 PM,,Brigette Tomas,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,Fungus and nematode problems on farm,-156.29867296,20.89994882
112,816bdc2a-2ffb-4d20-b000-cb7cd63ffe34,2/10/2023 8:50:46 PM,,2/10/2023 8:50:46 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,"niu_(coconut),mai`a_(banana)",,mai`a (banana),,,-156.298790875307,20.8997697658035
113,064e6bbe-2369-4246-9de3-bec9327fb5d4,2/10/2023 8:53:36 PM,,2/10/2023 8:53:36 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits",,`ulu (breadfruit),,,-156.298597583187,20.8997089828454
114,8044927a-9555-46a6-9dfe-bec9816b9718,2/10/2023 8:55:38 PM,,2/10/2023 8:55:38 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,"tropical_fruits,other",Caco tree ,other,Caco tree,Caco field with some tropical fruits- orange and lemon ,-156.298475317611,20.8996722404615
115,ecab508d-4b1e-43a0-af5b-c52d44cde47d,2/10/2023 8:57:29 PM,,2/10/2023 8:57:29 PM,,Brigette Tomas,,Inside the field,Multiple crops,other,"Citrus, Calamansi tree",,,Fungi and Nematode problem on farm,-156.29835162,20.89969643
116,b83be583-e8ca-42c2-82b7-1a5ccbba41a9,2/10/2023 8:57:51 PM,,2/10/2023 8:57:51 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,"Kalo, bananas, cabbages, Caco tree ",-156.298411098732,20.8998108032756
117,27a29cc8-3216-48f0-b01f-651ea3df29d6,2/10/2023 8:59:14 PM,,2/10/2023 8:59:14 PM,,Jeffrey wayer,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,Homemade mulch and some nematodes problems ,-156.29846219086,20.899807610451
118,57d5e1a7-7110-4aa3-9cfb-2d74b3f80cde,2/10/2023 9:00:48 PM,,2/10/2023 9:00:48 PM,,Jeffrey wayer,,Inside the field,One crop,mai`a_(banana),,,,,-156.298335979338,20.9001485789984
119,63896c27-9b5d-4b48-b52c-6b9b040744f8,2/10/2023 9:02:41 PM,,2/10/2023 9:02:41 PM,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,"Abiu fruit
Fungi and nematode problem on farm ",-156.29860593,20.90019498
120,941b950a-935d-4486-81d4-328f2051962a,2/10/2023 9:08:46 PM,,2/10/2023 9:08:46 PM,,Jeffrey Wayer,,On the edge of the field,One crop,other,Caco tree ,,,,-156.298342574467,20.8996555953512
121,92fc43bc-a6ab-48d1-b7b2-3e4233d30199,2/11/2023 7:29:33 PM,,2/11/2023 7:29:33 PM,,Paige Moffitt,,On the edge of the field,One crop,other,sunflower ,,,,-156.504166976199,20.8229559625966
122,239385db-b97b-4435-a64a-f66d82175fbb,2/11/2023 7:30:05 PM,,2/11/2023 7:30:05 PM,,Sean,,On the edge of the field,Fallow,,,,,,-156.503696877092,20.8231703665447
123,71fe4a4a-8f89-4202-9f9b-9dfbc82a5f79,2/11/2023 7:31:53 PM,,2/11/2023 7:31:53 PM,,jerry isdale,,On the edge of the field,Fallow,"other,kalo_(taro)",dirt,,,fallow w plastic tarp and cane grass border,-156.50403149,20.82311587
124,090f8646-ad3e-4315-97e4-df1571c4b00d,2/11/2023 7:32:43 PM,,2/11/2023 7:32:43 PM,,Sean,,On the edge of the field,One crop,other,Tomato,,,,-156.503310266029,20.8232611239014
125,2a2c4b5f-0c4c-4ea1-bea5-f46c47e6a388,2/11/2023 7:33:24 PM,,2/11/2023 7:33:24 PM,,Nick Adams,,Inside the field,One crop,other,Sunflower,,,,-156.503477604189,20.8229590527335
126,90daf97b-0c32-4675-9fa6-305eaf583ded,2/11/2023 7:33:58 PM,,2/11/2023 7:33:58 PM,,Pono Fortune,,Inside the field,Multiple crops,"tropical_fruits,`ulu_(breadfruit),sugarcane,`uala_(sweet_potato)",,other,sweet potato,,-156.47995179,20.8925517
127,aab773f5-afc2-48e0-9a7f-6262e7b16064,2/11/2023 7:34:01 PM,,2/11/2023 7:34:01 PM,,Pono Fortune,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other",tomato,kalo (taro) - mala (dryland),,,-156.50351813,20.82317991
128,1763f311-e33e-49f8-8a3a-93fbea72988f,2/11/2023 7:34:09 PM,,2/11/2023 7:34:09 PM,,jerryisfale,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c,other","tomato, squah, o:ra",,,,-156.50363017,20.82329016
129,c4c7799f-7572-4344-bbe7-739f072ae472,2/11/2023 7:34:11 PM,,2/11/2023 7:34:11 PM,,Olivia Gray,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other",tomato,,,,-156.503610648111,20.8232115586254
130,1dbff772-a1dc-4e9c-9516-58303dc65ea5,2/11/2023 7:34:56 PM,,2/11/2023 7:34:56 PM,,Brigette Tomas,,Inside the field,One crop,other,Sunflower,,,Farmer indicated they will plant sunflower the next day.,-156.50353343,20.82306489
131,6036a4b8-c19b-4da9-b149-9471d0146d54,2/11/2023 7:35:05 PM,,2/11/2023 7:35:05 PM,,Pono Fortune,,On the edge of the field,Fallow,,,,,feild will be planted with sunflower in the next feq days,-156.50351576,20.82317836
132,b72fc50e-91d7-436e-91b7-78fb0853d0ed,2/11/2023 7:35:19 PM,,2/11/2023 7:35:19 PM,,Anna Galbreath,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c,niu_(coconut)",,not applicable,,"Coconut trees are windbreaks. This is an experimental area where they tried tomatoes and taro, but there are a good amount of weeds as well.",-156.503531561312,20.8231734281187
133,fe5eedba-d0de-4899-8cae-8753abd8e14f,2/11/2023 7:35:35 PM,,2/11/2023 7:35:35 PM,,Sean,,Inside the field,Pasture,,,,,,-156.503350317514,20.8231128062817
134,8b7e08ff-e19a-432d-a87d-005320c66426,2/11/2023 7:36:17 PM,,2/11/2023 7:36:17 PM,,Paige Moffitt,,Inside the field,One crop,other,sunflower,,,currently fallow but planting sunflower tomorrow ,-156.503399992717,20.8231485709796
135,6ba602fb-f0be-4781-a197-a2403f91a323,2/11/2023 7:38:15 PM,,2/11/2023 7:38:15 PM,,Jeffrey Wayer,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,Other leafy greens present along with weeds ,-156.502729356502,20.8234708255665
136,ea8e6be4-cc39-4bd2-8732-712c56d72d04,2/11/2023 7:41:02 PM,,2/11/2023 7:41:02 PM,,Brigette Tomas,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,"Vegetable - Tomatoes
with some Fallow",-156.50392197,20.82312332
137,a0838b91-d0aa-4f07-942b-f690d1ffcbe6,2/11/2023 7:42:15 PM,,2/11/2023 7:42:15 PM,,Paige Moffitt,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.50251370118,20.8234051999005
138,12717649-017e-4b37-bd7f-6167574c3cae,2/11/2023 7:46:18 PM,,2/11/2023 7:46:18 PM,,Sean,,Inside the field,Pasture,,,,,,-156.503629363079,20.8218503073108
139,eebb15eb-80ab-4a82-b9d0-2c8502636c89,2/11/2023 7:47:11 PM,,2/11/2023 7:47:11 PM,,pono fortunr,,Inside the field,Fallow,,,,,field will be planted with sumflowers in the next few days,-156.50340598,20.82129373
140,b7cb33cf-4911-4ea1-83c7-c47c444138fd,2/11/2023 7:48:47 PM,,2/11/2023 7:48:47 PM,,Olivia Gray,,Inside the field,One crop,other,Sunflower,,,Sunflower grown for biodiesel.,-156.503584798962,20.8215838094586
141,55e51740-8a73-4e04-b005-6cfc58529dd2,2/11/2023 7:49:13 PM,,2/11/2023 7:49:13 PM,,Pono Fortune,,On the edge of the field,One crop,other,sunflower,,,,-156.50366663,20.820156
142,28dab166-0bbb-4464-a228-8c5efa66bd00,2/11/2023 7:49:32 PM,,2/11/2023 7:49:32 PM,,jerry isfale,,Inside the field,One crop,other,sunflower,,,pivot irrigation ,-156.5035634,20.81961312
143,73872579-d38b-43a5-970c-aeda4dd16a79,2/11/2023 7:49:59 PM,,2/11/2023 7:49:59 PM,,Sean,,Inside the field,Pasture,,,,,,-156.503822441847,20.8210571937185
144,c6ef736f-b185-4759-afa7-a517ddad30c6,2/11/2023 7:50:45 PM,,2/11/2023 7:50:45 PM,,Brigette Tomas,,Inside the field,One crop,other,Sunflower,,,"Uses a pivot watering system to water
",-156.50395455,20.82021645
145,3c5e0fc0-ecdf-4db7-8eb7-63ab186c492d,2/11/2023 7:50:59 PM,,2/11/2023 7:50:59 PM,,Olivia Gray,,Inside the field,One crop,other,Sunflower,,,Sunflower grown for biodiesel.,-156.503996583636,20.819920379332
146,1ed8d3c0-5cc2-4d6f-9a6d-a7b6293da4b5,2/11/2023 7:51:11 PM,,2/11/2023 7:51:11 PM,,CWC,,On the edge of the field,One crop,other,Sunflower,,,"This is a one crop field, nothing else will grow in the year except for sunflowers. Their biggest limiting factor is water shortage and expenses.",-156.504322876081,20.8205989571673
147,5f821bf1-36cc-4ea4-9d56-09a55b58e978,2/11/2023 7:51:11 PM,,2/11/2023 7:51:11 PM,,Sean,,Inside the field,One crop,other,Sunflower,,,,-156.504105999378,20.8203480857159
148,f3d034a1-cab3-44ac-95d6-7e510e83d416,2/11/2023 7:52:02 PM,,2/11/2023 7:52:02 PM,,Jeffrey Wayer,,On the edge of the field,One crop,other,Sunflowers ,,,,-156.503714209157,20.8201655607321
149,5472fa2d-0660-4444-b4d7-beb00dcf7c2e,2/11/2023 7:56:48 PM,,2/11/2023 7:56:48 PM,,Pono Fortune,,Inside the field,One crop,other,sunflower,,,,-156.5039121,20.82011336
150,02bc39cf-4903-4df1-bcfe-de26d52f2309,2/11/2023 7:56:51 PM,,2/11/2023 7:56:51 PM,,Pono Fortune,,On the edge of the field,One crop,other,sunflower,,,,-156.50407761,20.82040899
151,95f5daa3-6926-42bf-b889-f9544fed6c80,2/11/2023 7:57:44 PM,,2/11/2023 7:57:44 PM,,Pono Fortune,,On the edge of the field,Fallow,,,,,field will be planted with sunflower in the next few days,-156.50402818,20.82044013
152,07a86386-ce94-4bfa-a350-b7a24caba62e,2/11/2023 8:18:48 PM,,2/11/2023 8:18:48 PM,,Jeffrey Wayer,,On the edge of the field,One crop,other,Bitterlemon ,,,,-156.505989664203,20.8215739156733
153,3bea51f3-a2d2-46f5-8f1f-c456bd5c4937,2/11/2023 8:19:03 PM,,2/11/2023 8:19:03 PM,,Sean,,On the edge of the field,One crop,other,Bittermelon ,,,,-156.505986951937,20.8215937112535
154,0fa5c2d2-0a97-4c4c-8778-07d5836c5417,2/11/2023 8:19:14 PM,,2/11/2023 8:19:14 PM,,Paige Moffitt ,,On the edge of the field,One crop,other,bitter melon,,,,-156.505989952266,20.8215700656068
155,0ef92208-8402-40b6-a698-bfeada00667d,2/11/2023 8:19:29 PM,,2/11/2023 8:19:29 PM,,jerry isfale,,On the edge of the field,Multiple crops,"mai`a_(banana),other","bitter mellon, fallow",,,,-156.50616399,20.82158575
156,504c8fe7-3c1e-442d-a6bd-18d7b5c062ab,2/11/2023 8:19:33 PM,,2/11/2023 8:19:33 PM,,Olivia Gray,,Inside the field,Fallow,,,,,Bordered by banana trees on one side of the field.,-156.506127489998,20.8215753903343
157,9b4e8159-95f5-427b-8f58-3b1a13343b6e,2/11/2023 8:19:54 PM,,2/11/2023 8:19:54 PM,,Sean,,On the edge of the field,One crop,other,Sunflower,,,"
",-156.506011259274,20.8213477348425
158,32ef1a11-a351-4c53-ba4d-6e377f4d5f64,2/11/2023 8:20:08 PM,,2/11/2023 8:20:08 PM,,Cwc,,On the edge of the field,Fallow,other,Bittermelon,,,Uses plastic to cover the soil.,-156.505980325143,20.8216194101389
159,e8d974b7-67cd-4f4a-9eba-6dd6991b84fd,2/11/2023 8:20:23 PM,,2/11/2023 8:20:23 PM,,Anna G,,On the edge of the field,One crop,other,Sunflower,,,"Will be in bloom in about a week. This area switches between sunflower, sunn hemp, and ",-156.505048066647,20.8210912514789
160,2e28a7ec-a121-49f4-900f-152c2b6332b3,2/11/2023 8:20:28 PM,,2/11/2023 8:20:28 PM,,Anna G,,On the edge of the field,Multiple crops,"mai`a_(banana),other",Bittermelon,other,Bittermelon,Banana is a windbreak.,-156.505981316753,20.8216107753142
161,e2860224-c484-4050-9c45-6ff4cfe7af28,2/11/2023 8:20:33 PM,,2/11/2023 8:20:33 PM,,Brigette Tomas,,On the edge of the field,One crop,other,Bittermelon,,,"Has Banana tree windbreak
",-156.50608125,20.82153337
162,5546f113-1028-4be3-a110-abf53e7d844b,2/11/2023 8:20:40 PM,,2/11/2023 8:20:40 PM,,Pono Fortune,,On the edge of the field,Multiple crops,"other,mai`a_(banana)",bittermelon,other,bittermelon,,-156.50591631,20.82160622
163,c1d3d0ef-5499-4676-b607-c57de638f2c5,2/11/2023 8:21:01 PM,,2/11/2023 8:21:01 PM,,Jeffrey Wayer,,On the edge of the field,Fallow,,,,,,-156.506038277536,20.8214903641845
164,fbc30fcd-eca2-4178-88bc-94568e578bba,2/11/2023 8:23:40 PM,,2/11/2023 8:23:40 PM,,Sean,,Inside the field,Fallow,,,,,,-156.505915309947,20.8218117151988
165,cdc4b839-22cf-4541-9a80-fbbdd95e2263,2/11/2023 8:26:11 PM,,2/11/2023 8:26:11 PM,,Cwc,,On the edge of the field,One crop,other,Sunflower,,,"Sunflowers will be planted the next day, they’ll pop up in the next two weeks.",-156.505590997314,20.8220567070966
166,e411f5d1-1649-4466-866b-38d566998812,2/11/2023 8:27:30 PM,,2/11/2023 8:27:30 PM,,Pono Fortune,,On the edge of the field,Fallow,,,,,field will be planted with sunflower in the next few days,-156.50461607,20.8225859
167,6f9b496b-49a3-48d9-9669-8e98c0181fd6,2/12/2023 1:06:56 AM,,2/12/2023 1:06:56 AM,,Mary Alleca0,,Inside the field,Fallow,,,,,Will be planted with sunflower tomorrow,-156.50340583,20.82311349
168,24bfc710-8fa0-4f86-8cc7-ab42a8e7760a,2/12/2023 1:07:00 AM,,2/12/2023 1:07:00 AM,,Mary Alleca,,On the edge of the field,One crop,other,Sunflower,,,Late harvest due to weather - not enough sunlight.,-156.5040072,20.8203178
169,c4de6b60-a6bd-41d6-b404-92091b4b56b2,2/12/2023 1:07:04 AM,,2/12/2023 1:07:04 AM,,Mary Alleca,,On the edge of the field,Fallow,,,,,Sunflower planting tomorrow,-156.50402507,20.82040239
170,51ab737a-df99-4990-a368-90f41e9979f1,2/12/2023 1:07:10 AM,,2/12/2023 1:07:10 AM,,Mary Alleca0+,,On the edge of the field,One crop,other,Bittermelon,,,,-156.50648954,20.82186663
171,2b2a706a-ddea-44be-9ef0-1c36a2fe473a,2/12/2023 1:07:14 AM,,2/12/2023 1:07:14 AM,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.50651718,20.82156657
172,ee4f1fd4-05e1-465b-a8e1-bea8de21b304,2/12/2023 1:07:17 AM,,2/12/2023 1:07:17 AM,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.50645937,20.82149858
173,0b3f1a56-4e0c-45f6-b6a5-3b740431bab9,2/12/2023 1:07:21 AM,,2/12/2023 1:07:21 AM,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.50533478,20.82226224
174,d62c9eb7-ad10-4a5c-8160-ea43248de6d3,2/12/2023 1:07:24 AM,,2/12/2023 1:07:24 AM,,Mary Alleca,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.33992213,20.8843974
175,c8b5ba27-2bdb-4b3e-a1ea-635cdc7c5099,2/12/2023 1:07:27 AM,,2/12/2023 1:07:27 AM,,Mary Alleca,,Inside the field,Multiple crops,"other,kalo_(taro)","Herbs, olena, green onions, tomato,kale",,,Greenhouse for plant seedlings,-156.34018484,20.88425166
176,3f470ca5-85a0-46a5-983e-ec79134c8ac6,2/12/2023 1:07:35 AM,,2/12/2023 1:07:35 AM,,Mary Alleca,,On the edge of the field,One crop,kalo_(taro),,,,,-156.34023653,20.88403135
177,3cffbda1-8d0b-47c9-b3b0-98ad66cb9cc7,2/14/2023 9:42:17 PM,mweinhouse_LHES,2/14/2023 9:42:17 PM,mweinhouse_LHES,Michele Weinhouse,,On the edge of the field,Home garden or irregular,"`uala_(sweet_potato),vegetables_(e.g._leafy_greens_c,other",papaya,other,tomatoes,"mostly hydroponics
",-156.919542769464,20.8233003906394
178,49e8d9d2-e3c8-4ba1-bf46-9d5aa2a8b547,2/15/2023 7:15:26 PM,NASAHarvestCollector_UofMD,2/15/2023 7:15:26 PM,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,One crop,macadamia_nut,,,,,-157.04882715,21.16623965
179,16236493-b468-4898-b4cc-3dcd3420ace5,2/15/2023 7:15:34 PM,NASAHarvestCollector_UofMD,2/15/2023 7:15:34 PM,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,One crop,tropical_fruits,,,,mango,-157.04781182,21.16644674
180,b43130f9-9ecf-4b8e-98e7-d41c9f6da008,2/16/2023 7:08:15 PM,,2/16/2023 7:08:15 PM,,Aubrey,,On the edge of the field,Fallow,,,,,Fence is blocking animals from eating their crops.,-156.92399627,20.82508831
181,d2a65eee-ba23-495d-ac4a-c28c6837699d,2/16/2023 7:15:10 PM,,2/16/2023 7:15:10 PM,,Aubrey,,Inside the field,Multiple crops,"other,tropical_fruits","Papaya, marungay, ginger, lei plants, ",,,,-156.92398822,20.82514253
182,0c7c3731-6d46-4eda-9d8c-9ffa1b5e4dde,2/16/2023 9:28:53 PM,,2/16/2023 9:28:53 PM,,Jayleen ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other,sugarcane",Lemon grass ,,,"Deer fence 
Is it irrigated? What are the challenges you face? How much do you produce? Pests? ",-156.922723770994,20.8268457266769
183,0ed44faa-30ca-444b-8b0f-37d5b04c07e1,2/16/2023 9:28:54 PM,,2/16/2023 9:28:54 PM,,ervina,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c",,,,"There’s a fence to keep deer out. (DEER FENCE) 
Irrigation",-156.923556371944,20.8262521565737
184,c376c16a-5a74-4af8-8842-5878dd3ee54e,2/16/2023 9:28:56 PM,,2/16/2023 9:28:56 PM,,Alex ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other","Lemon grass, ",,,"Deer fence, rain water ",-156.923539100065,20.8263327111639
185,9144a8a8-803d-4d3c-9fa0-7031db184ba2,2/16/2023 9:29:00 PM,,2/16/2023 9:29:00 PM,,Geiv ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemon grass ,,,"There’s a deer fence, irrigated, yields, pests, ",-156.92269981115,20.8268017684244
186,73cb15e3-724b-41fd-a7c5-5d299d1feb3e,2/16/2023 9:29:02 PM,,2/16/2023 9:29:02 PM,,Makamae,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemon grass ,,,"Deer fence. On school grounds. 
Question: 
- yield 
- any challenges 
- what grows well",-156.923541204952,20.826359931776
187,765d968b-0a8d-4002-b56e-f9831e5a5657,2/16/2023 9:29:06 PM,,2/16/2023 9:29:06 PM,,Andrei,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),other,vegetables_(e.g._leafy_greens_c","Banana, lemon grass, ",,,"Deer fence, irrigated ",-156.923536483644,20.8263502178117
188,20ed8db9-3a01-4192-ac1d-0034473ac339,2/16/2023 9:29:37 PM,,2/16/2023 9:29:37 PM,,Hershey Lei,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemongrass,not applicable,,"Deer fence, yielding, pests.

- What are challenges farmers face with growing in their fields or gardens?
- Is this garden irrigated? ",-156.923616263394,20.8261339969861
189,61d80c89-bd75-43ee-bfa9-92200355d0e0,2/16/2023 9:36:33 PM,,2/16/2023 9:36:33 PM,,ervina ,,On the edge of the field,Home garden or irregular,"tropical_fruits,other",TI LEAF & Fallows,,,"DEER FENCE
MOSTLY TALL GRASS (fallow land)
",-156.923772005318,20.8252945406277
190,3322aa0f-64a8-43ac-8948-d98deb87c928,2/16/2023 9:36:56 PM,,2/16/2023 9:36:56 PM,,Geiv ,,On the edge of the field,Home garden or irregular,other,Tea leaf papaya ,,,Deer fence pests a lot of fallow land irritated yields ,-156.923442710189,20.8259706112262
191,a129f422-7eec-46d2-a4e8-b4d3f367311c,2/16/2023 9:37:01 PM,,2/16/2023 9:37:01 PM,,Jayleen,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,other","Papayas, tea leaf",,,"A lot of fallow land, fence around it, ",-156.923919539081,20.8254999940653
192,fe2b9db0-81cc-46d2-a0b0-62f4b6abe283,2/16/2023 9:37:05 PM,,2/16/2023 9:37:05 PM,,Andrei,,On the edge of the field,Home garden or irregular,"other,vegetables_(e.g._leafy_greens_c","Tea leafs, papaya, lilikoi, banana, mamaki, ginger",,,"It’s fenced in, irrigated",-156.923732064883,20.8253094618794
193,5da70b3f-4471-46b7-9cb0-57132ae1375c,2/16/2023 9:37:25 PM,,2/16/2023 9:37:25 PM,,Rennan,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c,other","Lemon grass, bananas",,,,-156.923536377709,20.8263328321112
194,4a4cd0eb-16a0-4945-a01d-2fcc36496493,2/16/2023 9:37:36 PM,,2/16/2023 9:37:36 PM,,Makamae ,,On the edge of the field,Home garden or irregular,"mai`a_(banana),tropical_fruits,vegetables_(e.g._leafy_greens_c,other",Liliko’i mamaki tea leaf ,,,"Irrigation
Dear fence
A lot of elephant grass ",-156.923859684582,20.825328158608
195,8aea5517-bd84-41c2-8ac7-cf1a93cb9fbf,2/16/2023 9:37:41 PM,,2/16/2023 9:37:41 PM,,Rennan,,On the edge of the field,Home garden or irregular,"tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,Lots of fallow land and is irrigated ,-156.923782017676,20.8253261319682
196,83eadaca-24d0-4502-8fc0-173c9630c75d,2/16/2023 9:37:47 PM,,2/16/2023 9:37:47 PM,,Alex ,,On the edge of the field,Home garden or irregular,"other,vegetables_(e.g._leafy_greens_c,mai`a_(banana),tropical_fruits","Papaya, ti leaf, ",,,"A lot of fallow land (lots of grass)  Deer fence, irrigated system, ",-156.923836719401,20.8253152951109
197,6b987610-c07a-4d3f-b746-503114ce7e4a,2/16/2023 9:38:19 PM,,2/16/2023 9:38:19 PM,,Hershey Lei,,On the edge of the field,Home garden or irregular,other,Ti Leaf and Papaya,,,"- Deer fence 
- Land is irrigated
- Pests
- Yields
- There’s a lot of fallow land that isn’t being harvested. ",-156.923804727424,20.8252782043513
198,4704db4d-f5c4-4cb1-a8d1-f4b51b07b3bb,2/17/2023 12:03:51 AM,,2/17/2023 12:03:51 AM,,Hi',,On the edge of the field,Multiple crops,"`ulu_(breadfruit),other","la'i, kukui, wauke",,,,-156.896618260255,20.8181666171598
199,59184364-3f07-47d8-80db-419edc3fae70,2/17/2023 3:44:54 AM,,2/17/2023 3:44:54 AM,,Miguel,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c,mai`a_(banana),other",Lemon Grass,,,Deer Fence and irrigated,-156.923549260937,20.8263482694766
200,5b760cea-aee1-4982-808d-873418849275,2/17/2023 3:45:00 AM,,2/17/2023 3:45:00 AM,,Miguel,,On the edge of the field,Home garden or irregular,"other,mai`a_(banana),vegetables_(e.g._leafy_greens_c",Papaya,,,"Deer fence, irrigated, lots of fallow, there are pests.",-156.923786471618,20.8253444213991
201,0b6f3971-e073-459a-a296-c2976c064c4e,2/18/2023 11:50:33 PM,,2/18/2023 11:50:33 PM,,NV,,On the edge of the field,Pasture,other,Cattle,,,,-156.355354931355,20.9352795433409
202,25068d3a-d3b5-4311-828f-d31290bfa2db,2/22/2023 8:07:54 PM,,2/22/2023 8:07:54 PM,,Jeffrey wayer,,On the edge of the field,Pasture,,,other,Goat farm,,-156.504409165337,20.8362389123875
203,16bcdf56-2fd2-43ca-b843-f1b80a6cee4a,2/22/2023 8:12:29 PM,,2/22/2023 8:12:29 PM,,Brigette Tomas,,Inside the field,Pasture,,,,,,-156.50414534,20.83521755
204,38cbf44c-51f2-40e1-a36d-7df0750a2ed6,2/22/2023 8:12:44 PM,,2/22/2023 8:12:44 PM,,Jeffrey wayer,,Inside the field,One crop,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,kalo (taro) - mala (dryland),,Kalo field with banana tree outline ,-156.504367595529,20.8347591140205
205,8661bfaa-2665-43b3-99f4-8436a4ecdd30,2/22/2023 8:15:16 PM,,2/22/2023 8:15:16 PM,,Brigette Tomas,,Inside the field,One crop,,,mai`a (banana),,Fallow and banana ,-156.50505966,20.83537963
206,c0ee7104-ec94-4cb1-ab5e-8ad11212b4e0,2/22/2023 8:16:47 PM,,2/22/2023 8:16:47 PM,,Jeffrey wayer,,Inside the field,Windbreak,,,,,,-156.505643965974,20.8355670397855
